timestamp,update_num,policy_loss,value_loss,entropy,approx_kl,clip_fraction,explained_variance,avg_value,value_range,avg_advantage,advantage_std,reward_mean,reward_std,hold_pct,buy_pct,sell_pct,buffer_avg_reward,buffer_win_rate,avg_close_pnl,cumulative_pnl,cumulative_trades,cumulative_win_rate
2026-03-22T05:35:52.698879,1,-0.1113279222510755,7.530483895540238,1.0602615371346473,0.01198327769525349,0.0755859375,-0.05041468,0.2753569483757019,1.8155488967895508,-2.182175397872925,3.3566524982452393,-0.4310546874999997,2.6164724136784905,0.349609375,0.404296875,0.24609375,-0.2189778003107961,0.05078125,-6.6928205128205125,-261.02,39,0.2564102564102564
2026-03-22T05:37:14.935258,2,-0.10658469228073955,4.205897957086563,1.0382752373814583,0.002118057175539434,0.0572265625,0.005067706,0.04612267017364502,1.908200740814209,-1.5144799947738647,2.5963985919952393,-0.41409179687499986,2.5540273048648525,0.34375,0.421875,0.234375,-0.15399451069555475,0.0390625,-4.879736842105265,-446.45000000000005,77,0.22077922077922077
2026-03-22T05:38:39.984011,3,-0.10097373561002314,3.630128672719002,1.0196233339607716,0.003249530080938712,0.0447265625,0.01928252,-0.334835410118103,2.0057497024536133,-1.687518835067749,2.2585079669952393,-0.4448502604166668,2.5081686748055803,0.404296875,0.361328125,0.234375,-0.20066503140598702,0.037109375,-9.614102564102561,-821.4000000000005,116,0.20689655172413793
2026-03-22T05:40:03.082340,4,-0.09596273005008697,5.282973459362983,1.0100223653018474,0.0015830563555937261,0.01484375,0.031581998,-0.3817864656448364,2.2495627403259277,-1.8933286666870117,2.783093214035034,-0.4675683593750002,2.5605215247533937,0.427734375,0.357421875,0.21484375,-0.2103496338998729,0.037109375,-10.161794871794873,-1217.7100000000003,155,0.2
2026-03-22T05:41:28.454535,5,-0.09861353104934097,4.451827052235603,0.9435332685708999,-0.0007046115060802549,0.0724609375,0.090025604,-0.5922999978065491,2.4213531017303467,-1.5127463340759277,2.6978442668914795,-0.48599414062499996,2.5969779007073837,0.525390625,0.29296875,0.181640625,-0.21575731746082788,0.044921875,-14.411714285714282,-1722.1200000000008,190,0.18421052631578946
2026-03-22T05:42:51.292512,6,-0.09818662535399199,4.624514928460121,0.9411367014050483,0.0011663686658721418,0.1181640625,0.1548546,-0.7465451955795288,3.639775276184082,-1.484948754310608,2.7924609184265137,-0.48573893229166704,2.6057236880287373,0.498046875,0.318359375,0.18359375,-0.18854883265601258,0.0390625,-16.953125,-2264.6200000000017,222,0.17567567567567569
2026-03-22T05:44:16.776736,7,-0.08871768182143569,3.726229026913643,0.9476159736514091,0.0015876465942710638,0.0748046875,0.13595223,-0.957643985748291,3.8319294452667236,-1.0057761669158936,2.638216972351074,-0.472155412946429,2.6354638289817944,0.5625,0.28125,0.15625,-0.1480301442167262,0.046875,-14.770344827586207,-2692.960000000002,251,0.18326693227091634
2026-03-22T05:45:40.149199,8,-0.0953098036814481,2.21542576700449,0.9899009093642235,0.0013947382278274745,0.050390625,0.069315255,-0.8475342988967896,3.7698354721069336,0.1719227433204651,2.1918065547943115,-0.42453247070312605,2.5424145171609283,0.51171875,0.328125,0.16015625,-0.0356629629011199,0.021484375,-25.03909090909092,-2968.3900000000026,262,0.19083969465648856
2026-03-22T05:47:05.804149,9,-0.09650507662445307,3.2034015372395515,0.9789085477590561,-0.0021430239197798074,0.073046875,0.1105535,-1.1186294555664062,4.143070220947266,-0.5720829367637634,2.5750434398651123,-0.4053656684027787,2.5365353196242935,0.4921875,0.345703125,0.162109375,-0.0989741400353418,0.048828125,-4.236857142857144,-3116.6800000000026,297,0.19865319865319866
2026-03-22T05:48:28.059754,10,-0.09104203898459673,3.99759106785059,0.9751615196466445,0.005569331510923803,0.049609375,0.054553032,-0.5058959722518921,4.956300258636475,0.18635015189647675,2.9047470092773438,-0.3632666015625007,2.5229699369883534,0.484375,0.37109375,0.14453125,0.00593400404207064,0.0859375,4.129354838709677,-2988.6700000000037,328,0.21646341463414634
