timestamp,update_num,policy_loss,value_loss,entropy,approx_kl,clip_fraction,explained_variance,avg_value,value_range,avg_advantage,advantage_std,reward_mean,reward_std,hold_pct,buy_pct,sell_pct,buffer_avg_reward,buffer_win_rate,avg_close_pnl,stoploss_count,cumulative_stoploss,cumulative_pnl,cumulative_trades,cumulative_win_rate
2026-03-24T18:14:02.776265,1,-0.05284195812419057,2.6895760595798492,0.7735957428812981,-0.0017207608820172028,0.071875,0.06996977,-0.24913367629051208,3.5993313789367676,-0.21398133039474487,2.3638086318969727,-0.28380033950661654,3.7441073725693634,0.451171875,0.271484375,0.27734375,-0.10117817847914594,0.1796875,-13.26894736842105,7,7,-756.3299999999999,57,0.40350877192982454
2026-03-24T18:15:38.633958,2,-0.05073927147313952,0.39086682088673114,0.8076764032244682,0.006836791420937516,0.062890625,-0.16700053,-0.2605699300765991,3.447122812271118,0.35217931866645813,0.8708443641662598,-0.2828613154069703,3.7406780955182164,0.5234375,0.201171875,0.275390625,0.025176809928150624,0.046875,4.7411111111111035,0,7,-713.66,66,0.42424242424242425
2026-03-24T18:17:42.427133,3,-0.038950925879180434,0.7691492453217507,0.6460015505552292,0.0007383554184343666,0.024609375,0.032290578,-0.1144915521144867,3.0023770332336426,-0.007342923432588577,1.2734291553497314,-0.28241038745752345,3.738692924731595,0.5703125,0.125,0.3046875,-0.027053586328053273,0.103515625,-1.7581249999999988,0,7,-769.9199999999998,98,0.41836734693877553
2026-03-24T18:19:44.922233,4,-0.040109381265938285,1.0025662988424302,0.6594827711582184,-0.0006906662660185247,0.020703125,0.10239011,-0.18390393257141113,3.110928535461426,0.2415887415409088,1.4251712560653687,-0.2813668206164025,3.737636937816818,0.599609375,0.12109375,0.279296875,0.032025916966159786,0.162109375,1.008437499999994,0,7,-737.6499999999996,130,0.46923076923076923
2026-03-24T18:22:02.643488,5,-0.04254372157156468,1.221136149764061,0.6987696155905724,-0.0003063466923777014,0.04375,0.11296368,-0.12622547149658203,3.454756736755371,-0.29175853729248047,1.572084665298462,-0.2815760655769169,3.7377569750895843,0.515625,0.154296875,0.330078125,-0.09801650934560055,0.1328125,-8.881707317073174,0,7,-1101.7999999999997,171,0.4502923976608187
2026-03-24T18:24:22.830033,6,-0.04726109094917774,1.5917047202587127,0.74701828956604,0.005066085563157685,0.044921875,0.17441976,-0.0511346235871315,3.376873254776001,0.03406459093093872,1.8185752630233765,-0.2808049877429158,3.7384566695170416,0.494140625,0.26171875,0.244140625,0.008658913521196882,0.17578125,-2.953111111111111,1,8,-1234.6899999999991,216,0.4583333333333333
2026-03-24T18:26:47.496741,7,-0.049627956561744214,1.7652625113725662,0.7670829370617867,0.0017806382849812508,0.084765625,0.07494384,-0.35121867060661316,4.004328727722168,0.009378954768180847,1.912248134613037,-0.2809684513526253,3.741112072034421,0.466796875,0.203125,0.330078125,-0.09290303008541796,0.1484375,-15.230454545454542,6,14,-1904.8299999999986,260,0.45
2026-03-24T18:29:23.816711,8,-0.047706732712686065,2.015692685544491,0.730298975110054,0.0015829117473913357,0.047265625,-0.0052723885,-0.29633697867393494,3.7140769958496094,-0.22408218681812286,2.0287976264953613,-0.2814908343159326,3.7444243685498195,0.505859375,0.21484375,0.279296875,-0.12901785450645503,0.109375,-2.4993939393939355,8,22,-1987.3099999999993,293,0.43686006825938567
2026-03-24T18:31:16.152708,9,-0.04133898308500648,0.5600973673164844,0.7451088994741439,0.0018219101009890437,0.079296875,-0.033404708,-0.09944187104701996,3.348477363586426,0.017962832003831863,1.0842645168304443,-0.2809327610838545,3.7417459219067766,0.515625,0.18359375,0.30078125,-0.014206169723509481,0.05859375,-1.225999999999997,0,22,-2011.8299999999995,313,0.43450479233226835
2026-03-24T18:33:26.810010,10,-0.0466374346986413,1.2690298110246658,0.7119850233197212,0.004100679414113984,0.06796875,0.054237187,-0.2556382417678833,3.2729110717773438,-0.41284996271133423,1.583248257637024,-0.2816269708557926,3.7425249240387206,0.44140625,0.1171875,0.44140625,-0.1517611673963082,0.1171875,-17.83030303030303,2,24,-2600.23,346,0.42485549132947975
2026-03-24T18:35:43.824988,11,-0.04409000491723418,0.8570562563836575,0.741922165453434,0.0031778638396644963,0.0734375,0.09779906,-0.1485450714826584,3.4634180068969727,0.11477100849151611,1.3399670124053955,-0.2810670203489685,3.741054329752291,0.533203125,0.236328125,0.23046875,-0.01373635340647739,0.14453125,-0.6572727272727296,0,24,-2629.15,390,0.4256410256410256
2026-03-24T18:38:10.895089,12,-0.04908018284477293,1.9719087481498718,0.7665325656533242,-0.0001028767816023901,0.06640625,-0.038645625,-0.3639035224914551,2.4671707153320312,-0.7102044820785522,1.9115962982177734,-0.2826867953160464,3.743761176987463,0.416015625,0.34375,0.240234375,-0.25405407617299736,0.076171875,-42.27081081081081,9,33,-4193.17,427,0.4028103044496487
2026-03-24T18:41:49.201217,13,-0.06474543805234134,2.4016219824552536,0.7988702580332756,0.004120196937583387,0.165234375,-0.027282357,-0.3485773801803589,2.02253794670105,-0.8687378764152527,2.0712225437164307,-0.28521048325103193,3.750731659615871,0.337890625,0.533203125,0.12890625,-0.354352943145615,0.05078125,-60.295759259259256,20,53,-7449.140999999998,481,0.3659043659043659
2026-03-24T18:43:56.733414,14,-0.046978197619318963,0.7327499285340309,0.7944369837641716,0.002281529869651422,0.049609375,-0.07656288,-0.4412303566932678,2.0624852180480957,-0.11925545334815979,1.2326133251190186,-0.28558434993295206,3.7487962522830394,0.337890625,0.59375,0.068359375,-0.11747049655014365,0.17578125,-13.777314285714287,1,54,-7931.346999999998,516,0.3507751937984496
